label,Train,Retrain,Eval
0,0.0018,0.0,0.0
1,0.0007,0.0,0.0
2,0.0007,0.009900990099009901,0.0
3,0.0065,0.0,0.009900990099009901
4,0.0238,0.0297029702970297,0.009900990099009901
5,0.4479,0.039603960396039604,0.04950495049504951
6,0.0553,0.009900990099009901,0.019801980198019802
7,0.0103,0.04950495049504951,0.0891089108910891
8,0.0516,0.13861386138613863,0.1485148514851485
9,0.0025,0.0297029702970297,0.0
10,0.1081,0.009900990099009901,0.009900990099009901
11,0.0078,0.0594059405940594,0.0297029702970297
12,0.0457,0.19801980198019803,0.22772277227722773
13,0.0062,0.009900990099009901,0.0
14,0.0264,0.019801980198019802,0.039603960396039604
15,0.0026,0.0,0.009900990099009901
16,0.0006,0.0,0.0
17,0.0354,0.04950495049504951,0.04950495049504951
18,0.006,0.0,0.009900990099009901
19,0.0177,0.0297029702970297,0.009900990099009901
20,0.0153,0.019801980198019802,0.009900990099009901
21,0.0269,0.04950495049504951,0.019801980198019802
22,0.0007,0.0,0.0
23,0.0041,0.009900990099009901,0.0
24,0.0385,0.0594059405940594,0.0891089108910891
25,0.0184,0.12871287128712872,0.12871287128712872
26,0.0278,0.009900990099009901,0.0
27,0.0107,0.039603960396039604,0.039603960396039604
